text,label
this is a really good movie,1
i enjoyed this movie very much,1
the acting was excellent and inspiring,1
this film was amazing and exciting,1
i loved every moment of this movie,1
the story was interesting and engaging,1
the movie had a wonderful ending,1
this film made me very happy,1
the actors did a fantastic job,1
one of the best movies i have seen,1
great storyline and excellent acting,1
the film was entertaining from start to finish,1
i would recommend this movie to my friends,1
the visual effects were impressive,1
this movie exceeded my expectations,1
this was a very bad movie,0
i did not enjoy this film at all,0
the acting was terrible and boring,0
this movie was disappointing,0
i hated every minute of this film,0
the story was confusing and dull,0
the ending was unsatisfying,0
this film made me feel bored,0
the actors gave a poor performance,0
one of the worst movies i have seen,0
bad storyline and weak acting,0
the film was too long and boring,0
i would not recommend this movie,0
the visual effects looked cheap,0
this movie failed to meet expectations,0